Href,Case_Study,Quote
https://www.getdbt.com/success-stories/aktify/,Aktify,"If anomalies surface, I can go back and spot when I introduced the issue and why. That makes fixing the problem so much faster and easier.”"
https://www.getdbt.com/success-stories/aktify/,Aktify,"When colleagues come to me and ask for new tables, pipelines or extractions, I can crank them out in half a day,” reported Smith."
https://www.getdbt.com/success-stories/aktify/,Aktify,"It’s incredible how quickly I can engineer data pipelines with Databricks and then use dbt to model the data so it will surface the right metrics. Our stakeholders see new information they couldn’t access before and they’re making better decisions, whereas before they always complained that they were flying blind.”"
https://www.getdbt.com/success-stories/aktify/,Aktify,"dbt cuts out so many of the little tasks I used to have to do,” he said."
https://www.getdbt.com/success-stories/aktify/,Aktify,"Without dbt, I would need at least two more people on my team. It’s saving us six figures per year by scaling the impact of the people we already have. If you’re still using SSIS, you’ll never meet your data needs because you can’t pivot fast enough and it’s too error-prone. dbt is a must-have tool.”"
https://www.getdbt.com/success-stories/aktify/,Aktify,"Other platforms may give you similar query speeds, but that’s not the deciding factor,” Smith said."
https://www.getdbt.com/success-stories/aktify/,Aktify,"With Databricks, you can stand up new solutions much more quickly because the open-source tooling removes barriers. That’s the kind of speed that’s most important to us.”"
https://www.getdbt.com/success-stories/aktify/,Aktify,"We no longer stage data in Snowflake because all our data, including about 85 gigabytes of operational data, is instantly available in the Databricks Lakehouse,” Smith concluded."
https://www.getdbt.com/success-stories/aktify/,Aktify,"Partner Connect also helps our team discover new data and AI solutions, bringing us closer to our vision of organization-wide data literacy.”"
https://www.getdbt.com/success-stories/andela/,Andela,"In late 2019, we started talking about how we could get our talent matching product to market faster,” said Evan Johnson, Director of Data at Andela."
https://www.getdbt.com/success-stories/andela/,Andela,We figured we could dramatically speed up our product development by building the data models in BigQuery using dbt and then prototyping the search functionality in Looker.”
https://www.getdbt.com/success-stories/andela/,Andela,"We needed to understand how different skills interacted with each other,” said Maya Neria, Senior Product Manager at Andela."
https://www.getdbt.com/success-stories/andela/,Andela,"The difference between an engineer who knows React AND Python vs. React OR Python is big, and we didn’t appreciate this important nuance,” Evan said."
https://www.getdbt.com/success-stories/andela/,Andela,"If we hadn’t caught this during the early prototyping stage, it would just have created tech debt that needed to be fixed later on in the actual product,” said Maya."
https://www.getdbt.com/success-stories/andela/,Andela,"Model the data in dbt, build the prototype in Looker, gather feedback, then build in MyAndela.”"
https://www.getdbt.com/success-stories/blend/,Blend,"As we’re growing, the number of sources is growing—the number of people relying on data is increasing… Today, we have around 32 sources of data, and 12 different teams utilize the data on top of our platform,” DC said."
https://www.getdbt.com/success-stories/blend/,Blend,"We had an incident where our revenue numbers were skewed…and it was because we weren’t calculating data quality well,” DC said."
https://www.getdbt.com/success-stories/blend/,Blend,"It was supposed to run on some schedule to try to detect anomalies in data…but when we ran it, [the monitors] completely overwhelmed our warehouse… Not only were queries taking a long time, but it was taking a lot of CPU on the Redshift cluster,” said Albert Pan, software engineer at Blend."
https://www.getdbt.com/success-stories/blend/,Blend,"Because a lot of the work in understanding data is within the product analytics team, we didn’t want to have data engineering be a roadblock,” said Albert."
https://www.getdbt.com/success-stories/blend/,Blend,"We wanted to give analysts a self-serve tool to be able to develop on, and dbt Cloud was exactly what we needed.”"
https://www.getdbt.com/success-stories/blend/,Blend,"A year ago, data discovery was the most important. We were asking, ‘what should we do with this data?’ Now we’ve reached a stage where data reliability is the most important,” DC said."
https://www.getdbt.com/success-stories/blend/,Blend,We want to calculate ROI for everything we invest in. The market has changed the strategy of how we reliably use the data. And that’s where Monte Carlo comes into the picture providing that insight in a very reliable way.”
https://www.getdbt.com/success-stories/blend/,Blend,"It really started becoming a very automated workflow where we didn’t have to tune it or babysit it a lot,” Albert continued."
https://www.getdbt.com/success-stories/blend/,Blend,"Given that Blend is enterprise software handling data for large financial institutions, our data is a product,” said Noah Hall, product analyst at Blend."
https://www.getdbt.com/success-stories/blend/,Blend,"Without dbt, we just wouldn’t be able to live up to the kind of agreements we have in terms of providing customers visibility into their own data…or it would take many more months to actually get these products out the door.”"
https://www.getdbt.com/success-stories/blend/,Blend,"It’s never great when a customer tells you that something is wrong or missing. So, we wanted a proactive solution that could tell us when something is wrong, and we can fix it before they even know. That’s one of the main reasons why we use dbt and Monte Carlo.”"
https://www.getdbt.com/success-stories/blend/,Blend,"An application might use different microservices for different income verification integrations in the mortgage application process. So the foreign key out of one of those microservices that will allow you to join it back to the application ID might be stored in a JSON blob,” said Noah."
https://www.getdbt.com/success-stories/blend/,Blend,We use dbt to modularize that different microservices data and extract some of those key pieces of information so that we can build out the clean end-user data into a table that will be queryable efficiently by our dashboarding tools.”
https://www.getdbt.com/success-stories/blend/,Blend,"One of the things Monte Carlo offers is a very light way to [monitor data] by collecting metadata, which doesn’t impact warehouse performance on a significant level like our original POC project did,” said Albert."
https://www.getdbt.com/success-stories/blend/,Blend,"At the infrastructure level, we’re going to focus on building real-time pipelines and a tracking framework… And on the other side, we also want to keep enhancing our products, which is the STP that we service our external users,” said DC."
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"Our chief responsibility is helping all teams across the company use data to drive better decision-making,” said James."
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"That means organizing the data, providing dashboards and visualizations to our teams, and working hand-in-hand with our engineers so we have the data they need to drive the business forward.”"
https://www.getdbt.com/success-stories/car-classic/,Car Classic,The amount of time it took to go from the inception of an idea to its implementation in our analytics was far too long.”
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"Our data lacked integrity and our team didn’t trust it– they were even skeptical of our raw data,” said James."
https://www.getdbt.com/success-stories/car-classic/,Car Classic,You can have the best data setup and fanciest dashboards but if people don’t trust the data then it’s all for nothing.”
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"Snowflake was ridiculously easy for us to set up. It took 2 hours, maybe less, for it to be ready to go.”"
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"Snowflake was easy to use for any analytical use case and has every function under the sun. Load times of reports became near-instant, with at least 10x performance improvements.”"
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"In some ways, it’s going slow to move fast,” shared James."
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"Before I joined and implemented dbt Cloud and Snowflake, it used to take ages to build data products because the data team was re-inventing the wheel with code each time. If you wanted to build a dashboard about auction sale rate, you’d need to copy and paste the same 50 lines of SQL and adjust it,” shared James."
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"With dbt, I can give someone access to the project; they can look through and see everything like metric definitions and lineage to see where every piece of data comes from and which reports it feeds.”"
https://www.getdbt.com/success-stories/car-classic/,Car Classic,top of the Christmas tree.”
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"You will never be able to write a test suite that covers every eventuality, and there is nothing worse as a data professional than when bugs and erroneous source data slip through your controls and you’re one of the last to notice. It erodes trust in both the technical architecture and you as a data practitioner.”"
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"Before anyone in the organization brings an issue to my attention, I know about it,” he said."
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"Thanks to Metaplane, I’m the one telling people, which puts me in the driver’s seat and fosters more trust.”"
https://www.getdbt.com/success-stories/car-classic/,Car Classic,"I believe investing in the right tools to do the job is often better than hiring two full-time engineers to do the same thing,” concluded James."
https://www.getdbt.com/success-stories/deputy/,Deputy,"When I arrived at Deputy, I was all excited,” said Sara Young, Senior Manager of Data Analytics."
https://www.getdbt.com/success-stories/deputy/,Deputy,"Stakeholders would make requests that didn’t seem complicated, but it would take me so long. I couldn’t explain properly to the stakeholders that the data was such a mess.  It was making me and the data team look bad.”"
https://www.getdbt.com/success-stories/deputy/,Deputy,"All leadership had nothing but horror stories about working with the data team,” admitted Huss Afzal, Data Director."
https://www.getdbt.com/success-stories/deputy/,Deputy,"The VP of Customer Success shared that she asked for a dashboard that the data team said they couldn’t deliver for nine months, because that’s how long it would take them to build it.”"
https://www.getdbt.com/success-stories/deputy/,Deputy,"Stakeholders knew the data team was not a good team. They weren’t surprised to be disappointed,” shared Sara."
https://www.getdbt.com/success-stories/deputy/,Deputy,A lot of people started leaving. First it was the director of data left. And then just more things started breaking. Then we lost one of the lead data engineers and he left with little documentation behind… things just turned off.”
https://www.getdbt.com/success-stories/deputy/,Deputy,"Learning dbt was a small learning curve,” said Sara."
https://www.getdbt.com/success-stories/deputy/,Deputy,"Analysts proficient in SQL can pick it up once they see how it works. Once you get your head around, the rest falls into place.”"
https://www.getdbt.com/success-stories/deputy/,Deputy,"You have one fact table and everyone is feeding off that table using the same metrics and getting consistent numbers,” said Andy Kwier, Lead Data Engineer."
https://www.getdbt.com/success-stories/deputy/,Deputy,"Having that single source of truth grew confidence in the data. Today, if I run a report and you run a report, we get the same metric.”"
https://www.getdbt.com/success-stories/deputy/,Deputy,"Freshness testing has helped a great deal to pick up on things straight away and get them fixed,” said Andy."
https://www.getdbt.com/success-stories/deputy/,Deputy,We can now proactively flag and solve issues before anyone notices. This happened the other day with a table that was failing because of a null value that wasn’t allowed in the field.”
https://www.getdbt.com/success-stories/deputy/,Deputy,"Before, we had over 400 tasks running: streams and pipes going everywhere. We didn’t even know which ones were still being used for dashboards or reporting,” shared Andy."
https://www.getdbt.com/success-stories/deputy/,Deputy,We saved 20% computing costs on Snowflake by cutting what we didn’t need.”
https://www.getdbt.com/success-stories/deputy/,Deputy,"Since we migrated to dbt, I haven’t had a problem that’s taken more than a couple of hours to fix. Before, it’d take a minimum of half a day,” said Andy."
https://www.getdbt.com/success-stories/deputy/,Deputy,We had no lineage so you’d need to look into multiple pipes and streams. Now I can see what’s downstream or upstream.”
https://www.getdbt.com/success-stories/deputy/,Deputy,"The pace of delivery has been phenomenal. Analysts are collaborating directly with the business,” said Huss."
https://www.getdbt.com/success-stories/deputy/,Deputy,"When you can answer questions almost immediately, then you’re invited by business stakeholders to join meetings and provide valuable insights on the spot.”"
https://www.getdbt.com/success-stories/deputy/,Deputy,"On average, I’d say dashboards that’d take months now take a week,” smiled Andy."
https://www.getdbt.com/success-stories/deputy/,Deputy,"The business feels very comfortable asking us quirky ad hoc questions, and because we have a model in place, it’s easy for us to either build it or answer that query,” shared Huss."
https://www.getdbt.com/success-stories/deputy/,Deputy,Productivity is skyrocketing.”
https://www.getdbt.com/success-stories/deputy/,Deputy,"Outside of that we also want to introduce some data science to some of our metrics,” said Huss."
https://www.getdbt.com/success-stories/deputy/,Deputy,dbt’s integration with Python will come in handy there.”
https://www.getdbt.com/success-stories/deputy/,Deputy,"With the metadata API, we’ll be able to understand which sources and which tests generally fail,” said Andy."
https://www.getdbt.com/success-stories/deputy/,Deputy,This will give us more visibility into where our problems are.”
https://www.getdbt.com/success-stories/deputy/,Deputy,"This is something we’re building next year. We’re super excited about it,” said Huss."
https://www.getdbt.com/success-stories/deputy/,Deputy,And dbt will play a big role in modeling that data and serving our new product.”
https://www.getdbt.com/success-stories/firefly/,Firefly,"In my previous role an analyst would make a request, the request would drop into an engineer’s backlog, and three weeks later a new dimension would appear, often lacking any understanding of the original business context.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,"To expect anyone new to understand the pipeline I had created, would have been tough. It was just this mysterious analytics server managed by me. I really needed a way to ensure consistency as the team grew.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,"One of our core differentiators is how we leverage data to optimize and personalize an otherwise insanely complex and siloed healthcare system. Rapid, reliable, and accessible data is at the center of our ability to deliver value.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,"Modeling in Looker alone wasn’t cutting it; it was hard to maintain, hard to test, and hard to extend models.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,"I needed something that would enable us to spend more time delivering business insights than unwinding broken scripts, or investigating irregular dashboards.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,I really wasn’t able to test with the same rigor I was used to as a developer.”
https://www.getdbt.com/success-stories/firefly/,Firefly,"dbt Cloud solves all those problems for me. It makes me feel like I’m spending more time delivering business insights than managing infrastructure, trying to pinpoint errors in formatting, or deciphering why a job failed.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,"In the 12 months before dbt, when we were using our old analytics server/Crontab/Python setup, I created 4 models. In the ~2 months since launching dbt, we’ve created 15.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,"Something that got me very excited about dbt was the concept of packages. Leveraging work from the open source community to work more efficiently with data sources like Salesforce and Segment helps me answer questions that are notoriously difficult for almost every organization. We used the Segment dbt package to create an attribution model that combines web sessions data with Google Ads and DialPad call logs. For the first time, we had a remarkably granular understanding of the true cost of customer acquisition.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,We ship every model with tests now. Prior to dbt… we didn’t even test our python transform scripts.”
https://www.getdbt.com/success-stories/firefly/,Firefly,"With dbt we get tests built in which is very exciting. Before dbt I had a Crontab, a bunch of Jupyter notebooks running on a scheduler, Cronitor for monitoring, and a task in Snowflake to schedule SQL queries. It worked, but I really wasn’t able to test the way I needed to. Observability was near impossible without SSHing onto a server, and development was slow.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,Our Looker dashboards serve insights to more than 50 business users who access the system on a daily basis.”
https://www.getdbt.com/success-stories/firefly/,Firefly,Most dbt datasets ship with a short video to help data consumers understand how to perform and expand their analysis.”
https://www.getdbt.com/success-stories/firefly/,Firefly,"dbt allows us to set, and track metrics-driven goals for almost everything we do. Every metric we track aligns to our core values, and is presented in that context to all business users.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,Our goal is to make the patient experience so easy and accessible that 100% of new members complete an appointment or health assessment with the team of professionals we match them to.”
https://www.getdbt.com/success-stories/firefly/,Firefly,"We strive to reply to 100% of new patients requesting care in under 30 minutes, and all clinically urgent cases in under 15 minutes. dbt helps us create models we use to track and analyze these response times.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,"Our Return to Work service enables employers to request daily health assessments directly through the platform. Employees reporting illness receive custom care plans within 30 minutes. Rapid response is crucial here, but quality of care can’t be overlooked. We use network utilization data to quickly source the right specialist, and match by proximity, price, availability, and quality of care.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,Routine testing in dbt gives us confidence that the provider we’ve selected and the care plan assigned is correct.”
https://www.getdbt.com/success-stories/firefly/,Firefly,"Employers can check who is and isn’t ready to resume work, so they can plan backfill, or reach out to check that they’re ok.”"
https://www.getdbt.com/success-stories/firefly/,Firefly,"dbt powers the dashboards we use to quickly compare our rates to national averages. Today, we can see we’re out-performing the market, but our goal is to reduce that metric by a further 20%. dbt will help us track progress.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"I can’t emphasize this enough,” James said."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"We don’t have a dedicated database admin or anything like that on the team because with Snowflake, we just don’t need one.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"We often have times where we have a critical backfilling job. With Snowflake you can scale up for that one job, run the backfill, then scale right back down. Dynamic scaling with Snowflake is something that analysts can do on their own – no waiting for a data engineer.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"Even five years ago, data teams would have maybe one dev instance and one staging instance of their warehouse,” James said."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,Snowflake is more like an ecosystem. You don’t even think of it as an instance because people can use cloning to spin up so many different databases.”
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"We’re pulling in data from our in-house databases, APIs, a lot of flat files sitting in S3, and Kafka streams. It all lands in our Snowflake data lake,” said James."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"At any data organization in any company, you typically have a lot of analysts and fewer technical resources. This always creates a blocker to productivity. Whenever an analyst needs a new column or data grain, they have to go to a data engineer to get it,” James said."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"We’re an organization of over 3,500 people. If we need to hire a data engineer for every 2-3 analysts, that’s just not going to be cost effective. It doesn’t scale.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"Even a little bit of copy/pasting makes maintenance difficult. If you need to change one line of code in a model, you need to find all the places where that code was copy/pasted.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,In some cases the data engineering team needed to write custom tooling to determine dependencies.”
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"Analysts were incentivized to have fewer models because the more complex the DAG is in Airflow, the more times you have to copy/paste the code,” James said."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,An analyst would look back at a query after a week or month later and have no idea what it was all about.”
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"As an organization, we use the term ‘empowering’ a lot,” James said."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"We have a highly autonomous company culture. We hire smart, trustworthy people and we want to make sure they have the tools they need to get their work done. That’s what we’re trying to do on our data team as well. We think empowering analysts to own their tools is the only way to build a productive analytics team at scale.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"We talk about guardrails vs. gates. We don’t want to put up gates for people, but we do want to provide guardrails. Guardrails are best practices that allow people to move quickly and confidently.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"dbt makes it easier to do data modeling the right way, and harder to do it the wrong way.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"In the past, most analysts on our team weren’t comfortable with incremental models. So they would either work with a data engineer or just do a full refresh every day.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"totally changing the way people write SQL,” James said."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"HubSpot works with a lot of sales and marketing service providers. The classic example is a digital marketing agency who works with HubSpot to both sell the HubSpot product to a new small business and help them really get set up on HubSpot,” said Ashley Sherwood, the Senior Data Analyst on HubSpot’s partner team."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"Our partner channel is an important part of our business, which leads to us asking a lot of questions about the program.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"We’d been able to report on how many new sellers that we had, but never the attrition of sellers falling off. This led to us bringing a lot of pieces together for 2020 planning in a really exciting and new way.”"
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"We have a legacy testing framework that works quite well for us. But being separate from dbt, it doesn’t make a lot of sense,” James said."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,We’re currently adopting the dbt testing framework so analysts will be able to write their own data quality tests as well.”
https://www.getdbt.com/success-stories/hubspot/,Hubspot,"Most analysts learn SQL on a very small, simple SQL database. When you switch to a highly scalable, columnar database, it opens up new possibilities,” James said."
https://www.getdbt.com/success-stories/hubspot/,Hubspot,This is about education. We want to continue building an internal community around Snowflake and dbt to empower our analysts to get the most out of what these tools can do together.”
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Centralized data teams are often asked to be a catch-all for data related issues. We deal with infrastructure issues, business logic issues, data quality issues, and we have to be honest with ourselves that we create bottlenecks,” said Ben Singleton, Director of Data Science & Analytics at JetBlue."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"If we can let people take greater ownership of the data that they themselves are experts in, we’ll all be better off.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"My welcome to JetBlue involved a group of senior leaders making it clear that they were frustrated with the current state of data,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,It made it real to me on day one that there was a lot of work to be done. That was my call to action.”
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"I knew that we couldn’t just work on making our Microsoft SSIS pipelines incrementally better, or making configuration changes to our Microsoft parallel data warehouse to reduce our nightly eight hour maintenance window to six and a half hours. We needed to rebuild from the ground up.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Data engineers spend all of their time in data, but they’re not necessarily experts on how it’s used by different business functions to generate insights,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"The only way we can support JetBlue in becoming a data-driven organization is if more people can participate in the data transformation process. My data team can’t scale fast enough to meet the needs of the company. We need to enable a distributed model of data management,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"We don’t have much of a choice. Given the challenges we’re facing as an airline during an unprecedented global pandemic, we have to do more and be more efficient with less. Not only do we support regulatory reporting requirements, we need to enable critical decision-making that will ensure our recovery from this crisis. We can’t give up on or deprioritize data. We have to modernize, and we’re doing it quickly.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"I came to JetBlue knowing that introducing Snowflake and dbt would be the right game-changing move. I had bought into the vision that Tristan Handy and other folks in the dbt community articulated about modern data warehousing and the analytics engineering workflow. I still had to validate the technology and ensure it would meet JetBlue’s needs, but I trusted the approach.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Version controlled code ensures that changes can be implemented following audit-approved processes. This is a new workflow to most analysts, but they are often very willing to adopt new processes if it means gaining greater control over their data.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Airlines can succeed or fail based on how they respond in a snowstorm,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"JetBlue’s data infrastructure not only needs to help business leaders make long-term decisions, it needs to help crewmembers in system operations decide whether or not to keep the doors open an extra few minutes to accommodate a delayed connecting flight. These are high-pressure situations that require real-time data.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"People might think of dbt as a tool that only supports batch workflows which update a few times a day or once daily, but dbt can be used for any kind of data transformation in your warehouse, including real-time use cases,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Delays in operational data result in suboptimal decisions, and one suboptimal decision across a network of a thousand flights a day can disproportionally affect the customer experience and be expensive,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Traveling can be stressful, especially in the time of coronavirus. We want to be really smart about using data to improve that experience.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Previously, we monitored our data transformation jobs, but we didn’t actually monitor our data,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Missing data is inevitable, but the data team should be the first to catch it. Incorrect data is not only embarrassing, but can be costly. We frequently weren’t aware that something broke until our users told us.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"dbt makes testing part of the development process. It’s just part of the work you do every day, so it doesn’t feel like an extra burden,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Catching data quality issues before your users helps the culture of your team. No one likes to have fingers pointed at them. It’s an overlooked benefit of dbt–what it can do for morale,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Our availability hovered around 65%,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"In an age where people expect 99.9% uptime, 65% doesn’t remotely cut it anymore.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,We had to watch our Microsoft SSIS transformation pipelines and our APS warehouse jobs because they frequently and unexpectedly failed throughout the night.”
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"My hope is that by making our data really reliable and solid, we can get more people interested in asking questions of the data and getting their hands dirty,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"We want our Excel power users to be motivated to learn SQL, and our SQL users to get inside the warehouse and build data models. We want our decision-makers to feel comfortable building their own dashboards and getting answers for themselves without always having to rely on analysts, even to answer basic questions.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Our first group of 20 analysts have been trained on Snowflake and exposed to the data warehousing concepts guiding our approach, and the next step in the plan is to have interested data analysts trained on dbt Cloud.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"We need to approach data warehousing like any other product IT might develop. It needs to be intuitive, well-organized, and simple,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,No more abbreviations or acronyms.”
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"Documentation is important for newcomers, and also important for getting advanced analysts involved in the data transformation process.”"
https://www.getdbt.com/success-stories/jetblue/,Jetblue,"We’ll be focused on building out our customer data models to provide enhanced ‘Customer 360’ insights. We have a fantastic loyalty program that we’re aggressively working to expand. My team is very excited to support those efforts through data,” Ben said."
https://www.getdbt.com/success-stories/jetblue/,Jetblue,So my team is working extremely hard to provide a world-class data stack and regain the trust of our analyst community. I’m confident it’s going to be a radical transformation. The new workflow with dbt and Snowflake isn’t a small improvement. It’s a complete redesign of our entire approach to data that will establish a new strategic foundation for analysts at JetBlue to build on.”
https://www.getdbt.com/success-stories/landbay/,Landbay,"The key difference with Landbay is our marketplace funding model,” said Julian Cork, COO at Landbay."
https://www.getdbt.com/success-stories/landbay/,Landbay,"The marketplace has two sides, the lending and funding. Our vision is to be the go-to lender in this space and a default option for brokers, as well as the partner of choice for those that want to invest in buy-to-let mortgages.”"
https://www.getdbt.com/success-stories/landbay/,Landbay,"I had heard about dbt before,” said Chris Burrell, CTO at Landbay."
https://www.getdbt.com/success-stories/landbay/,Landbay,And it was mentioned on nearly every customer reference call we did with Looker customers.”
https://www.getdbt.com/success-stories/landbay/,Landbay,"Before we rolled out the new setup, we did a massive quality assurance check on every piece of our data transformation logic,” said Bruno Murino, Data Analyst at Landbay."
